id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCLHTPO25N000002788,장소,유적지,13645009,대승서원,,,60609,서원/향교/서당,5271034028102670000,전북특별자치도,완주군,소양면,신원리,267,5271034028,5271034000,527104619216.0,신원상리길,84-3,127.2967916,35.8598305,다마816626,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002789,장소,유적지,13645010,봉강서원,,,60609,서원/향교/서당,4725011200102300010,경상북도,상주시,신봉동,,230-10,4725011200,4725057000,472504733477.0,신봉1길,28,128.1572026,36.4023177,라바589229,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002790,장소,유적지,13645011,비비정,,,60606,비/탑/문/각,5271025022108200003,전북특별자치도,완주군,삼례읍,후정리,820-3,5271025022,5271025000,,,,127.0685383,35.8990581,다마610670,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002791,장소,유적지,13645012,삼세오충열사,,,60603,유명사적/유적지,5214036023101310003,전북특별자치도,익산시,용안면,중신리,131-3,5214036023,5214036000,,,,126.9600993,36.1196266,다마514915,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002792,장소,유적지,13645013,어래산성,,,60610,성/성터,5213038021201560000,전북특별자치도,군산시,나포면,나포리,산156,5213038021,5213038000,,,,126.8732862,36.0415212,다마435829,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002793,장소,유적지,13645015,천호동굴,,,60607,천연기념물,5214039024200010055,전북특별자치도,익산시,여산면,호산리,산1-55,5214039024,5214039000,,,,127.1217565,36.0516254,다마659839,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002794,장소,유적지,13645017,임실용암리석등,,,60605,보물,5275033027100760002,전북특별자치도,임실군,신평면,용암리,76-2,5275033027,5275033000,,,,127.210571,35.6344234,다마737376,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002795,장소,유적지,13645020,창원정씨종가,,,60608,고택/생가/민속마을,5274031023105800001,전북특별자치도,장수군,산서면,사계리,580-1,5274031023,5274031000,527404628155.0,서원길,16,127.3952843,35.5656036,다마905299,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002796,장소,유적지,13645021,흥학당,,,60609,서원/향교/서당,5274035022100970002,전북특별자치도,장수군,계남면,화양리,97-2,5274035022,5274035000,527404628253.0,유천길,40-1,127.57439,35.7052451,라마067454,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002797,장소,유적지,13645042,호룡보루,,,60603,유명사적/유적지,5274031034101860000,전북특별자치도,장수군,산서면,동화리,186,5274031034,5274031000,,,,127.3947563,35.5848794,다마904320,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002798,장소,유적지,13645059,연파정,,,60606,비/탑/문/각,5274034030202260000,전북특별자치도,장수군,천천면,연평리,산226,5274034030,5274034000,,,,127.5266006,35.7884714,라마024546,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002799,장소,유적지,13645060,추천대,,,60603,유명사적/유적지,5211311000113010002,전북특별자치도,전주시덕진구,팔복동3가,,1301-2,5211311000,5211360000,,,,127.1039265,35.8438167,다마642608,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002800,장소,유적지,13645241,법성진숲쟁이,,,60603,유명사적/유적지,4687037022108210001,전라남도,영광군,법성면,법성리,821-1,4687037022,4687037000,,,,126.4439918,35.3652733,다마040082,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002801,장소,유적지,13645242,연안김씨종택,,,60603,유명사적/유적지,4687035022101660000,전라남도,영광군,군남면,동간리,166,4687035022,4687035000,,,,126.4743739,35.2409435,다라066944,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002802,장소,유적지,13645243,단주리당간지주,,,60603,유명사적/유적지,4687025028103070000,전라남도,영광군,영광읍,단주리,307,4687025028,4687025000,,,,126.5022145,35.2840362,다라092991,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002803,장소,유적지,13645244,설매리석조불두상,,,60603,유명사적/유적지,4687035026200590003,전라남도,영광군,군남면,설매리,산59-3,4687035026,4687035000,,,,126.4147325,35.232239,다라012935,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002804,장소,유적지,13645247,정렬각,,,60606,비/탑/문/각,4687031025200080005,전라남도,영광군,대마면,원흥리,산8-5,4687031025,4687031000,,,,126.559411,35.3061208,다마144015,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002805,장소,유적지,13645248,법성리느티나무,,,60603,유명사적/유적지,4687037021100280001,전라남도,영광군,법성면,진내리,28-1,4687037021,4687037000,,,,126.4422981,35.3648441,다마039082,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002806,장소,유적지,13645250,영산김씨세장비,,,60606,비/탑/문/각,4687033026200470000,전라남도,영광군,불갑면,모악리,산47,4687033026,4687033000,,,,126.5376843,35.2054448,다라124904,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002807,장소,유적지,13651600,논개묘역,,,60603,유명사적/유적지,4887038024105540000,경상남도,함양군,서상면,금당리,554,4887038024,4887038000,,,,127.6764906,35.6830784,라마159429,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002808,장소,유적지,13651610,동매리김씨고가,,,60608,고택/생가/민속마을,4885032027103890001,경상남도,하동군,악양면,동매리,389-1,4885032027,4885032000,488504832124.0,동매길,9-1,127.7196034,35.1889893,라라199882,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002809,장소,유적지,13651621,하동향교,,,60609,서원/향교/서당,4885025021110690000,경상남도,하동군,하동읍,읍내리,1069,4885025021,4885025000,488504832478.0,향교2길,5,127.7434796,35.0704846,라라221750,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002810,장소,유적지,13651636,오담고택,,,60608,고택/생가/민속마을,4887035021102170002,경상남도,함양군,지곡면,개평리,217-2,4887035021,4887035000,488704838013.0,개평길,66-2,127.7667086,35.5664403,라마241300,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002811,장소,유적지,13651641,금서자혜느티나무,,,60603,유명사적/유적지,4886034030105630000,경상남도,산청군,금서면,자혜리,563,4886034030,4886034000,,,,127.777586,35.4416586,라마251162,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002812,장소,유적지,13651677,서간소루,,,60606,비/탑/문/각,4888034022111660000,경상남도,거창군,북상면,갈계리,1166,4888034022,4888034000,,,,127.8186747,35.780354,라마288538,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002813,장소,유적지,13651678,갈천서당,,,60609,서원/향교/서당,4888034022110730000,경상남도,거창군,북상면,갈계리,1073,4888034022,4888034000,488803347007.0,송계로,767-34,127.8159586,35.7808805,라마285538,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002814,장소,유적지,13651681,용암정,,,60603,유명사적/유적지,4888034023100630000,경상남도,거창군,북상면,농산리,63,4888034023,4888034000,,,,127.8217225,35.7674965,라마290523,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002815,장소,유적지,13651682,삼장사지삼층석탑,,,60606,비/탑/문/각,4886035023103980000,경상남도,산청군,삼장면,평촌리,398,4886035023,4886035000,,,,127.8261742,35.3414224,라마296051,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002816,장소,유적지,13651683,산청생초고분군,,,60603,유명사적/유적지,4886033021200930001,경상남도,산청군,생초면,어서리,산93-1,4886033021,4886033000,,,,127.8270525,35.4947971,라마296221,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002817,장소,유적지,13651686,조식유적,,,60603,유명사적/유적지,4886036026104630001,경상남도,산청군,시천면,원리,463-1,4886036026,4886036000,,,,127.8283151,35.2764863,라라298979,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002818,장소,유적지,13651689,반구헌,,,60603,유명사적/유적지,4888035025100510000,경상남도,거창군,위천면,강천리,51,4888035025,4888035000,,,,127.8290789,35.7552569,라마297510,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002819,장소,유적지,13651691,요수정,,,60603,유명사적/유적지,4888035028107660000,경상남도,거창군,위천면,황산리,766,4888035028,4888035000,,,,127.829863,35.7622378,라마298518,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002820,장소,유적지,13651692,구연서원,,,60609,서원/향교/서당,4888035028107690000,경상남도,거창군,위천면,황산리,769,4888035028,4888035000,488804841496.0,은하리길,100,127.8310455,35.7624628,라마299518,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002821,장소,유적지,13651695,시천원리은행나무,,,60603,유명사적/유적지,4886036026102330000,경상남도,산청군,시천면,원리,233,4886036026,4886036000,,,,127.8340505,35.2744205,라라303977,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002822,장소,유적지,13651701,생초어서느티나무,,,60603,유명사적/유적지,4886033021109890005,경상남도,산청군,생초면,어서리,989-5,4886033021,4886033000,,,,127.8394256,35.4980357,라마307225,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002823,장소,유적지,13651703,민재호가옥,,,60608,고택/생가/민속마을,4886034026110310001,경상남도,산청군,금서면,특리,1031-1,4886034026,4886034000,488604835055.0,동의보감로312번가길,10-9,127.8480344,35.4425886,라마315163,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002824,장소,유적지,13651705,산청이요정,,,60603,유명사적/유적지,4886033022107380000,경상남도,산청군,생초면,노은리,738,4886033022,4886033000,,,,127.8526878,35.5195639,라마319249,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002825,장소,유적지,13651709,대포서원,,,60609,서원/향교/서당,4886033027100380001,경상남도,산청군,생초면,대포리,38-1,4886033027,4886033000,488604835071.0,명지대포로236번길,183,127.8557329,35.4625185,라마322185,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002826,장소,유적지,13651718,두방재,,,60603,유명사적/유적지,4885041023110010000,경상남도,하동군,옥종면,두양리,1001,4885041023,4885041000,,,,127.8636598,35.2424967,라라330941,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002827,장소,유적지,13651719,임진성,,,60610,성/성터,4884035028202910000,경상남도,남해군,남면,상가리,산291,4884035028,4884035000,,,,127.8660224,34.7793054,라라334428,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002828,장소,유적지,13651726,송계재,,,60603,유명사적/유적지,4886032023101920000,경상남도,산청군,오부면,내곡리,192,4886032023,4886032000,,,,127.8725275,35.4813039,라마337206,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002829,장소,유적지,13651736,산청차탄느티나무,,,60603,유명사적/유적지,4886025026201320000,경상남도,산청군,산청읍,차탄리,산132,4886025026,4886025000,,,,127.8753955,35.442512,라마340163,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002830,장소,유적지,13651745,산청향교,,,60609,서원/향교/서당,4886025023103690001,경상남도,산청군,산청읍,지리,369-1,4886025023,4886025000,488604835282.0,중앙로59번길,20-5,127.8809416,35.4164326,라마345134,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002831,장소,유적지,13651747,백자요지,,,60603,유명사적/유적지,4885039025200580000,경상남도,하동군,북천면,서황리,산58,4885039025,4885039000,,,,127.8841789,35.120452,라라350806,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002832,장소,유적지,13651750,서계서원,,,60609,서원/향교/서당,4886025023105180000,경상남도,산청군,산청읍,지리,518,4886025023,4886025000,488604835046.0,덕우지길,51,127.8855002,35.4169113,라마349135,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002833,장소,유적지,13651751,당항리느티나무,,,60603,유명사적/유적지,4884035021115030004,경상남도,남해군,남면,당항리,1503-4,4884035021,4884035000,,,,127.8864063,34.7735353,라라353421,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002834,장소,유적지,13651752,내오리지석묘,,,60603,유명사적/유적지,4888031027103330001,경상남도,거창군,주상면,내오리,333-1,4888031027,4888031000,,,,127.8917972,35.7804447,라마354538,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002835,장소,유적지,13651757,용산서당,,,60609,서원/향교/서당,4886032026108890000,경상남도,산청군,오부면,중촌리,889,4886032026,4886032000,488604835001.0,가마길,8,127.8930588,35.5056073,라마356233,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002836,장소,유적지,13651759,정기룡장군유허지,,,60603,유명사적/유적지,4885036022108210001,경상남도,하동군,금남면,중평리,821-1,4885036022,4885036000,,,,127.8949702,34.9836158,라라360654,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002837,장소,유적지,13651761,다랑이논,,,60603,유명사적/유적지,4884035023109270000,경상남도,남해군,남면,홍현리,927,4884035023,4884035000,,,,127.8959556,34.7275354,라라362370,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002838,장소,유적지,13651762,신흥사삼층석탑,,,60606,비/탑/문/각,4884035021108720002,경상남도,남해군,남면,당항리,872-2,4884035021,4884035000,,,,127.897244,34.7768617,라라363425,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002839,장소,유적지,13651766,단종태실지,,,60603,유명사적/유적지,4824036027104380000,경상남도,사천시,곤명면,은사리,438,4824036027,4824036000,,,,127.898511,35.1339483,라라363821,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002840,장소,유적지,13651767,설흘산봉수대,,,60603,유명사적/유적지,4884035023202370002,경상남도,남해군,남면,홍현리,산237-2,4884035023,4884035000,,,,127.9000375,34.7351324,라라366379,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002841,장소,유적지,13651768,단성운리매화나무,,,60603,유명사적/유적지,4886037025103420002,경상남도,산청군,단성면,운리,342-2,4886037025,4886037000,,,,127.8998972,35.3219912,라마363030,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002842,장소,유적지,13651771,조지서묘비,,,60606,비/탑/문/각,4885041029106140002,경상남도,하동군,옥종면,대곡리,614-2,4885041029,4885041000,,,,127.9005886,35.160556,라라364851,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002843,장소,유적지,13651773,세종대왕태실지,,,60603,유명사적/유적지,4824036027200270000,경상남도,사천시,곤명면,은사리,산27,4824036027,4824036000,,,,127.9052347,35.1358399,라라369823,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002844,장소,유적지,13651775,오천정씨정려각,,,60606,비/탑/문/각,4885041029110700005,경상남도,하동군,옥종면,대곡리,1070-5,4885041029,4885041000,,,,127.9039552,35.1631862,라라367854,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002845,장소,유적지,13651778,오부대현느티나무,,,60603,유명사적/유적지,4886032028106290000,경상남도,산청군,오부면,대현리,629,4886032028,4886032000,,,,127.9055443,35.503757,라마367231,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002846,장소,유적지,13651781,하경복의묘,,,60603,유명사적/유적지,4817046028200590000,경상남도,진주시,수곡면,원계리,산59,4817046028,4817046000,,,,127.9072654,35.2186579,라라370915,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002847,장소,유적지,13651795,개봉고분,,,60603,유명사적/유적지,4888025023105840002,경상남도,거창군,거창읍,대동리,584-2,4888025023,4888025000,,,,127.9156282,35.6947543,라마376443,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002848,장소,유적지,13651803,차황양곡느티나무,,,60603,유명사적/유적지,4886031022108810001,경상남도,산청군,차황면,양곡리,881-1,4886031022,4886031000,,,,127.9209228,35.4694968,라마381193,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002849,장소,유적지,13651805,단성입석은행나무,,,60603,유명사적/유적지,4886037026102740000,경상남도,산청군,단성면,입석리,274,4886037026,4886037000,,,,127.9216655,35.298355,라마383003,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002850,장소,유적지,13651810,남해다정리지석묘,,,60603,유명사적/유적지,4884031021109110005,경상남도,남해군,이동면,다정리,911-5,4884031021,4884031000,,,,127.9235472,34.8157906,라라387468,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002851,장소,유적지,13651813,수정당,,,60603,유명사적/유적지,4885041030105710000,경상남도,하동군,옥종면,북방리,571,4885041030,4885041000,,,,127.9245051,35.1649541,라라386856,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002852,장소,유적지,13651816,동호리이씨고가,,,60608,고택/생가/민속마을,4888032025108480000,경상남도,거창군,웅양면,동호리,848,4888032025,4888032000,488804841216.0,동호1길,217,127.9272917,35.7990563,라마386559,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002853,장소,유적지,13651818,장수황씨묘비문인석,,,60603,유명사적/유적지,4886037029202200000,경상남도,산청군,단성면,사월리,산220,4886037029,4886037000,,,,127.9307995,35.2761627,라라391979,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
KCLHTPO25N000002854,장소,유적지,13651825,우계당,,,60603,유명사적/유적지,4886031028105380000,경상남도,산청군,차황면,부리,538,4886031028,4886031000,,,,127.9306673,35.4576882,라마390180,20251002,맵퍼스,KC_507_LLR_HISTST_2025,20250822
